Tree,Relation_Handling,N_Folds,Model,Threshold,R2,MAE,MAPE,MSE,RMSE
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,LassoLars,23,0.8350431019503166,17.489599731121125,0.038684636001507795,621.0282556538602,22.473781684739794
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,lgbm,23,0.8223484424413537,17.10652726607545,0.03772704824255658,648.7561123783727,23.354212519489575
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,rf,23,0.8146840220299724,17.077400368025998,0.037990210844748414,695.8318822594557,23.72396784878828
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,Adaboost,23,0.806138085942811,18.643746530907176,0.04136319794312934,712.3723361946668,23.870906589814584
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,et,23,0.7616880556149265,18.239340665761254,0.04014351693331087,790.5214507628807,26.60983856937674
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,HubR,23,0.7333201141721486,18.672669587693626,0.04012337512669626,800.8708681612115,26.05790431116411
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,dt,23,0.7277186794154732,19.172665874430585,0.04256896346917314,884.2039809863339,28.15771305204448
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,lr,23,-184827492848104.2,225461722.26179042,506703.91263625707,1.2851871225461983e+18,301728972.0915849
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,BayesianRidge,25,0.8646298067144963,15.926113017475867,0.03498225730770334,528.0159229850399,21.3457904227313
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,LassoLars,25,0.8442258584483149,17.90509228275341,0.039455774857675936,618.7977313766559,22.548733151114206
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,Lasso,25,0.8442159733149402,17.905427273193702,0.039456522908298146,618.8598051643818,22.549100987311633
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,lgbm,25,0.8345653850802964,17.670799343054572,0.03884070712746856,628.002666029314,23.67831040633288
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,gbr,25,0.8246472555181736,16.605909204644288,0.03631027435327686,686.633441446901,23.315313432855213
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,rf,25,0.8246122671659261,17.589369200244207,0.039501919017509914,695.4251267577711,24.18795817181476
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,xgb,25,0.8244676559496258,16.364347425913817,0.035715381149638084,701.7748485683883,23.732625873340933
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,Adaboost,25,0.8146489293609757,19.40929409168292,0.04331843097256453,744.3739936690082,24.433741118496176
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,et,25,0.7711918758021273,18.818557951307955,0.041673256025494015,868.0115222068118,26.979158598583908
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,HubR,25,0.7369605480090354,19.117638866320426,0.04096983544870254,855.4169131467216,26.730449878740664
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,dt,25,0.6547755909569658,20.818806008806007,0.046484311799289794,1265.1540934990933,32.45588813292105
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,lr,25,-1.0813305039869187e+17,9428105149.189943,20158571.214070722,5.081274315214381e+20,12598341466.681915
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,BayesianRidge,27,0.8451008583752955,16.284368863972972,0.035754898803142324,556.7055140199501,22.07971490226896
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,Lasso,27,0.8431885090701461,17.83507364242202,0.039284796777983556,619.103685148693,23.696118671985634
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,LassoLars,27,0.8431531456535306,17.8385690255451,0.03929203431937553,619.2819477784984,23.7002317669479
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,xgb,27,0.8221294547465824,18.10935870296741,0.0399963716952592,756.7740232881646,25.127435009190705
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,rf,27,0.8029887117045468,19.04446879910213,0.04253894906510503,755.6214818203838,25.944574866811898
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,Adaboost,27,0.7944355458831474,20.250250329467182,0.045327466345194134,824.8145874780428,26.624477885627602
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,gbr,27,0.7895180956017078,18.20938775770596,0.04039988513325836,786.0211575058112,26.028584218553764
